agency_cd,site_no,parameter_cd,ts_id,Year,Month,mean_va
USGS,15304000,60,995,1951,7,70160
USGS,15304000,60,995,1951,8,93720
USGS,15304000,60,995,1951,9,150900
USGS,15304000,60,995,1951,10,37490
USGS,15304000,60,995,1951,11,17000
USGS,15304000,60,995,1951,12,15000
USGS,15304000,60,995,1952,1,14000
USGS,15304000,60,995,1952,2,13000
USGS,15304000,60,995,1952,3,11000
USGS,15304000,60,995,1952,4,11500
USGS,15304000,60,995,1952,5,40320
USGS,15304000,60,995,1952,6,148400
USGS,15304000,60,995,1952,7,83850
USGS,15304000,60,995,1952,8,85650
USGS,15304000,60,995,1952,9,59960
USGS,15304000,60,995,1952,10,54130
USGS,15304000,60,995,1952,11,22000
USGS,15304000,60,995,1952,12,16000
USGS,15304000,60,995,1953,1,13000
USGS,15304000,60,995,1953,2,11000
USGS,15304000,60,995,1953,3,9300
USGS,15304000,60,995,1953,4,8600
USGS,15304000,60,995,1953,5,50810
USGS,15304000,60,995,1953,6,75500
USGS,15304000,60,995,1953,7,57370
USGS,15304000,60,995,1953,8,85840
USGS,15304000,60,995,1953,9,105000
USGS,15304000,60,995,1953,10,41730
USGS,15304000,60,995,1953,11,20000
USGS,15304000,60,995,1953,12,15000
USGS,15304000,60,995,1954,1,12000
USGS,15304000,60,995,1954,2,11000
USGS,15304000,60,995,1954,3,10000
USGS,15304000,60,995,1954,4,12500
USGS,15304000,60,995,1954,5,63420
USGS,15304000,60,995,1954,6,33880
USGS,15304000,60,995,1954,7,44060
USGS,15304000,60,995,1954,8,77220
USGS,15304000,60,995,1954,9,95100
USGS,15304000,60,995,1954,10,62500
USGS,15304000,60,995,1954,11,20500
USGS,15304000,60,995,1954,12,18000
USGS,15304000,60,995,1955,1,15000
USGS,15304000,60,995,1955,2,14000
USGS,15304000,60,995,1955,3,12000
USGS,15304000,60,995,1955,4,11000
USGS,15304000,60,995,1955,5,28550
USGS,15304000,60,995,1955,6,104200
USGS,15304000,60,995,1955,7,76520
USGS,15304000,60,995,1955,8,74660
USGS,15304000,60,995,1955,9,89180
USGS,15304000,60,995,1955,10,56290
USGS,15304000,60,995,1955,11,23000
USGS,15304000,60,995,1955,12,18000
USGS,15304000,60,995,1956,1,15000
USGS,15304000,60,995,1956,2,13000
USGS,15304000,60,995,1956,3,11000
USGS,15304000,60,995,1956,4,13000
USGS,15304000,60,995,1956,5,128300
USGS,15304000,60,995,1956,6,70280
USGS,15304000,60,995,1956,7,62270
USGS,15304000,60,995,1956,8,77580
USGS,15304000,60,995,1956,9,73060
USGS,15304000,60,995,1956,10,34700
USGS,15304000,60,995,1956,11,14000
USGS,15304000,60,995,1956,12,10000
USGS,15304000,60,995,1957,1,9300
USGS,15304000,60,995,1957,2,9600
USGS,15304000,60,995,1957,3,10000
USGS,15304000,60,995,1957,4,15000
USGS,15304000,60,995,1957,5,161700
USGS,15304000,60,995,1957,6,79640
USGS,15304000,60,995,1957,7,49450
USGS,15304000,60,995,1957,8,41840
USGS,15304000,60,995,1957,9,49100
USGS,15304000,60,995,1957,10,29570
USGS,15304000,60,995,1957,11,34500
USGS,15304000,60,995,1957,12,20870
USGS,15304000,60,995,1958,1,16480
USGS,15304000,60,995,1958,2,13540
USGS,15304000,60,995,1958,3,11000
USGS,15304000,60,995,1958,4,11670
USGS,15304000,60,995,1958,5,37730
USGS,15304000,60,995,1958,6,59320
USGS,15304000,60,995,1958,7,62690
USGS,15304000,60,995,1958,8,87930
USGS,15304000,60,995,1958,9,63740
USGS,15304000,60,995,1958,10,48380
USGS,15304000,60,995,1958,11,24000
USGS,15304000,60,995,1958,12,18000
USGS,15304000,60,995,1959,1,14000
USGS,15304000,60,995,1959,2,11000
USGS,15304000,60,995,1959,3,7600
USGS,15304000,60,995,1959,4,9000
USGS,15304000,60,995,1959,5,93240
USGS,15304000,60,995,1959,6,45760
USGS,15304000,60,995,1959,7,56730
USGS,15304000,60,995,1959,8,70600
USGS,15304000,60,995,1959,9,76370
USGS,15304000,60,995,1959,10,36350
USGS,15304000,60,995,1959,11,17000
USGS,15304000,60,995,1959,12,14970
USGS,15304000,60,995,1960,1,13480
USGS,15304000,60,995,1960,2,10030
USGS,15304000,60,995,1960,3,7645
USGS,15304000,60,995,1960,4,9250
USGS,15304000,60,995,1960,5,107800
USGS,15304000,60,995,1960,6,72860
USGS,15304000,60,995,1960,7,73910
USGS,15304000,60,995,1960,8,87980
USGS,15304000,60,995,1960,9,77950
USGS,15304000,60,995,1960,10,53580
USGS,15304000,60,995,1960,11,18500
USGS,15304000,60,995,1960,12,15000
USGS,15304000,60,995,1961,1,14000
USGS,15304000,60,995,1961,2,11000
USGS,15304000,60,995,1961,3,9500
USGS,15304000,60,995,1961,4,9000
USGS,15304000,60,995,1961,5,36190
USGS,15304000,60,995,1961,6,70630
USGS,15304000,60,995,1961,7,72580
USGS,15304000,60,995,1961,8,111500
USGS,15304000,60,995,1961,9,114800
USGS,15304000,60,995,1961,10,65870
USGS,15304000,60,995,1961,11,30000
USGS,15304000,60,995,1961,12,25000
USGS,15304000,60,995,1962,1,19000
USGS,15304000,60,995,1962,2,14000
USGS,15304000,60,995,1962,3,11000
USGS,15304000,60,995,1962,4,13000
USGS,15304000,60,995,1962,5,84940
USGS,15304000,60,995,1962,6,131400
USGS,15304000,60,995,1962,7,79550
USGS,15304000,60,995,1962,8,60360
USGS,15304000,60,995,1962,9,101400
USGS,15304000,60,995,1962,10,35110
USGS,15304000,60,995,1962,11,19500
USGS,15304000,60,995,1962,12,14000
USGS,15304000,60,995,1963,1,12000
USGS,15304000,60,995,1963,2,9800
USGS,15304000,60,995,1963,3,9600
USGS,15304000,60,995,1963,4,10000
USGS,15304000,60,995,1963,5,122100
USGS,15304000,60,995,1963,6,125400
USGS,15304000,60,995,1963,7,115700
USGS,15304000,60,995,1963,8,169800
USGS,15304000,60,995,1963,9,97490
USGS,15304000,60,995,1963,10,53930
USGS,15304000,60,995,1963,11,18500
USGS,15304000,60,995,1963,12,13480
USGS,15304000,60,995,1964,1,11000
USGS,15304000,60,995,1964,2,9476
USGS,15304000,60,995,1964,3,9406
USGS,15304000,60,995,1964,4,10500
USGS,15304000,60,995,1964,5,22130
USGS,15304000,60,995,1964,6,235100
USGS,15304000,60,995,1964,7,83170
USGS,15304000,60,995,1964,8,54450
USGS,15304000,60,995,1964,9,44590
USGS,15304000,60,995,1964,10,33950
USGS,15304000,60,995,1964,11,17500
USGS,15304000,60,995,1964,12,12700
USGS,15304000,60,995,1965,1,12000
USGS,15304000,60,995,1965,2,11600
USGS,15304000,60,995,1965,3,11400
USGS,15304000,60,995,1965,4,11800
USGS,15304000,60,995,1965,5,58120
USGS,15304000,60,995,1965,6,103100
USGS,15304000,60,995,1965,7,73770
USGS,15304000,60,995,1965,8,102500
USGS,15304000,60,995,1965,9,112000
USGS,15304000,60,995,1965,10,74900
USGS,15304000,60,995,1965,11,21000
USGS,15304000,60,995,1965,12,11450
USGS,15304000,60,995,1966,1,8400
USGS,15304000,60,995,1966,2,6900
USGS,15304000,60,995,1966,3,6100
USGS,15304000,60,995,1966,4,9500
USGS,15304000,60,995,1966,5,65470
USGS,15304000,60,995,1966,6,93610
USGS,15304000,60,995,1966,7,71070
USGS,15304000,60,995,1966,8,73790
USGS,15304000,60,995,1966,9,56740
USGS,15304000,60,995,1966,10,48210
USGS,15304000,60,995,1966,11,22000
USGS,15304000,60,995,1966,12,15000
USGS,15304000,60,995,1967,1,14000
USGS,15304000,60,995,1967,2,14000
USGS,15304000,60,995,1967,3,19000
USGS,15304000,60,995,1967,4,41000
USGS,15304000,60,995,1967,5,130200
USGS,15304000,60,995,1967,6,101100
USGS,15304000,60,995,1967,7,96150
USGS,15304000,60,995,1967,8,134900
USGS,15304000,60,995,1967,9,61300
USGS,15304000,60,995,1967,10,30380
USGS,15304000,60,995,1967,11,14930
USGS,15304000,60,995,1967,12,11480
USGS,15304000,60,995,1968,1,10520
USGS,15304000,60,995,1968,2,10000
USGS,15304000,60,995,1968,3,10000
USGS,15304000,60,995,1968,4,10670
USGS,15304000,60,995,1968,5,91900
USGS,15304000,60,995,1968,6,66640
USGS,15304000,60,995,1968,7,60500
USGS,15304000,60,995,1968,8,49820
USGS,15304000,60,995,1968,9,31790
USGS,15304000,60,995,1968,10,25630
USGS,15304000,60,995,1968,11,14730
USGS,15304000,60,995,1968,12,11130
USGS,15304000,60,995,1969,1,9823
USGS,15304000,60,995,1969,2,9000
USGS,15304000,60,995,1969,3,8323
USGS,15304000,60,995,1969,4,16870
USGS,15304000,60,995,1969,5,73680
USGS,15304000,60,995,1969,6,53530
USGS,15304000,60,995,1969,7,54540
USGS,15304000,60,995,1969,8,70800
USGS,15304000,60,995,1969,9,35590
USGS,15304000,60,995,1969,10,35430
USGS,15304000,60,995,1969,11,17400
USGS,15304000,60,995,1969,12,11870
USGS,15304000,60,995,1970,1,10320
USGS,15304000,60,995,1970,2,10000
USGS,15304000,60,995,1970,3,10000
USGS,15304000,60,995,1970,4,10370
USGS,15304000,60,995,1970,5,67270
USGS,15304000,60,995,1970,6,61680
USGS,15304000,60,995,1970,7,60250
USGS,15304000,60,995,1970,8,67220
USGS,15304000,60,995,1970,9,57190
USGS,15304000,60,995,1970,10,32160
USGS,15304000,60,995,1970,11,16700
USGS,15304000,60,995,1970,12,11900
USGS,15304000,60,995,1971,1,10320
USGS,15304000,60,995,1971,2,10000
USGS,15304000,60,995,1971,3,9500
USGS,15304000,60,995,1971,4,11280
USGS,15304000,60,995,1971,5,126800
USGS,15304000,60,995,1971,6,80170
USGS,15304000,60,995,1971,7,74480
USGS,15304000,60,995,1971,8,108400
USGS,15304000,60,995,1971,9,47230
USGS,15304000,60,995,1971,10,41860
USGS,15304000,60,995,1971,11,20200
USGS,15304000,60,995,1971,12,13290
USGS,15304000,60,995,1972,1,11290
USGS,15304000,60,995,1972,2,10000
USGS,15304000,60,995,1972,3,8903
USGS,15304000,60,995,1972,4,10070
USGS,15304000,60,995,1972,5,125000
USGS,15304000,60,995,1972,6,135400
USGS,15304000,60,995,1972,7,76370
USGS,15304000,60,995,1972,8,64230
USGS,15304000,60,995,1972,9,66310
USGS,15304000,60,995,1972,10,48440
USGS,15304000,60,995,1972,11,25830
USGS,15304000,60,995,1972,12,18420
USGS,15304000,60,995,1973,1,14160
USGS,15304000,60,995,1973,2,11890
USGS,15304000,60,995,1973,3,10610
USGS,15304000,60,995,1973,4,16170
USGS,15304000,60,995,1973,5,99710
USGS,15304000,60,995,1973,6,72900
USGS,15304000,60,995,1973,7,56540
USGS,15304000,60,995,1973,8,66690
USGS,15304000,60,995,1973,9,50780
USGS,15304000,60,995,1973,10,38740
USGS,15304000,60,995,1973,11,22800
USGS,15304000,60,995,1973,12,14710
USGS,15304000,60,995,1974,1,11580
USGS,15304000,60,995,1974,2,10460
USGS,15304000,60,995,1974,3,9806
USGS,15304000,60,995,1974,4,15270
USGS,15304000,60,995,1974,5,89750
USGS,15304000,60,995,1974,6,47320
USGS,15304000,60,995,1974,7,46150
USGS,15304000,60,995,1974,8,47820
USGS,15304000,60,995,1974,9,52980
USGS,15304000,60,995,1974,10,41960
USGS,15304000,60,995,1974,11,26930
USGS,15304000,60,995,1974,12,16230
USGS,15304000,60,995,1975,1,11970
USGS,15304000,60,995,1975,2,10040
USGS,15304000,60,995,1975,3,9161
USGS,15304000,60,995,1975,4,9333
USGS,15304000,60,995,1975,5,74100
USGS,15304000,60,995,1975,6,79880
USGS,15304000,60,995,1975,7,75110
USGS,15304000,60,995,1975,8,56430
USGS,15304000,60,995,1975,9,74500
USGS,15304000,60,995,1975,10,43610
USGS,15304000,60,995,1975,11,18800
USGS,15304000,60,995,1975,12,11870
USGS,15304000,60,995,1976,1,10420
USGS,15304000,60,995,1976,2,10000
USGS,15304000,60,995,1976,3,9581
USGS,15304000,60,995,1976,4,9467
USGS,15304000,60,995,1976,5,92470
USGS,15304000,60,995,1976,6,62270
USGS,15304000,60,995,1976,7,50640
USGS,15304000,60,995,1976,8,45580
USGS,15304000,60,995,1976,9,30550
USGS,15304000,60,995,1976,10,25940
USGS,15304000,60,995,1976,11,17100
USGS,15304000,60,995,1976,12,12030
USGS,15304000,60,995,1977,1,11000
USGS,15304000,60,995,1977,2,10540
USGS,15304000,60,995,1977,3,9661
USGS,15304000,60,995,1977,4,9833
USGS,15304000,60,995,1977,5,65580
USGS,15304000,60,995,1977,6,115500
USGS,15304000,60,995,1977,7,60560
USGS,15304000,60,995,1977,8,60230
USGS,15304000,60,995,1977,9,76930
USGS,15304000,60,995,1977,10,52710
USGS,15304000,60,995,1977,11,24070
USGS,15304000,60,995,1977,12,16770
USGS,15304000,60,995,1978,1,13680
USGS,15304000,60,995,1978,2,11750
USGS,15304000,60,995,1978,3,10520
USGS,15304000,60,995,1978,4,10030
USGS,15304000,60,995,1978,5,30420
USGS,15304000,60,995,1978,6,41450
USGS,15304000,60,995,1978,7,59190
USGS,15304000,60,995,1978,8,54510
USGS,15304000,60,995,1978,9,40360
USGS,15304000,60,995,1978,10,22650
USGS,15304000,60,995,1978,11,13870
USGS,15304000,60,995,1978,12,12000
USGS,15304000,60,995,1979,1,11000
USGS,15304000,60,995,1979,2,11000
USGS,15304000,60,995,1979,3,10160
USGS,15304000,60,995,1979,4,15170
USGS,15304000,60,995,1979,5,92900
USGS,15304000,60,995,1979,6,74730
USGS,15304000,60,995,1979,7,74560
USGS,15304000,60,995,1979,8,67990
USGS,15304000,60,995,1979,9,41790
USGS,15304000,60,995,1979,10,33840
USGS,15304000,60,995,1979,11,16170
USGS,15304000,60,995,1979,12,15000
USGS,15304000,60,995,1980,1,12480
USGS,15304000,60,995,1980,2,12000
USGS,15304000,60,995,1980,3,10390
USGS,15304000,60,995,1980,4,25670
USGS,15304000,60,995,1980,5,117100
USGS,15304000,60,995,1980,6,91900
USGS,15304000,60,995,1980,7,119500
USGS,15304000,60,995,1980,8,95020
USGS,15304000,60,995,1980,9,60940
USGS,15304000,60,995,1980,10,31260
USGS,15304000,60,995,1980,11,12730
USGS,15304000,60,995,1980,12,11810
USGS,15304000,60,995,1981,1,11000
USGS,15304000,60,995,1981,2,10180
USGS,15304000,60,995,1981,3,10190
USGS,15304000,60,995,1981,4,19400
USGS,15304000,60,995,1981,5,96770
USGS,15304000,60,995,1981,6,52040
USGS,15304000,60,995,1981,7,76870
USGS,15304000,60,995,1981,8,83830
USGS,15304000,60,995,1981,9,50000
USGS,15304000,60,995,1981,10,30080
USGS,15304000,60,995,1981,11,21400
USGS,15304000,60,995,1981,12,16160
USGS,15304000,60,995,1982,1,13130
USGS,15304000,60,995,1982,2,11360
USGS,15304000,60,995,1982,3,11000
USGS,15304000,60,995,1982,4,10270
USGS,15304000,60,995,1982,5,68420
USGS,15304000,60,995,1982,6,87370
USGS,15304000,60,995,1982,7,76020
USGS,15304000,60,995,1982,8,78780
USGS,15304000,60,995,1982,9,84440
USGS,15304000,60,995,1982,10,51510
USGS,15304000,60,995,1982,11,21970
USGS,15304000,60,995,1982,12,17480
USGS,15304000,60,995,1983,1,16060
USGS,15304000,60,995,1983,2,14500
USGS,15304000,60,995,1983,3,12350
USGS,15304000,60,995,1983,4,11830
USGS,15304000,60,995,1983,5,53680
USGS,15304000,60,995,1983,6,54830
USGS,15304000,60,995,1983,7,46360
USGS,15304000,60,995,1983,8,58900
USGS,15304000,60,995,1983,9,47820
USGS,15304000,60,995,1983,10,26440
USGS,15304000,60,995,1983,11,19370
USGS,15304000,60,995,1983,12,15970
USGS,15304000,60,995,1984,1,14160
USGS,15304000,60,995,1984,2,13000
USGS,15304000,60,995,1984,3,12600
USGS,15304000,60,995,1984,4,14730
USGS,15304000,60,995,1984,5,95220
USGS,15304000,60,995,1984,6,62840
