time,Year,tumi
1/1/67 0:00,1967,10259.731
1/1/68 0:00,1968,9133.83
1/1/69 0:00,1969,6567.234
1/1/70 0:00,1970,9135.859
1/1/71 0:00,1971,5446.5015
1/1/72 0:00,1972,6412.79
1/1/73 0:00,1973,7765.874
1/1/74 0:00,1974,6977.5054
1/1/75 0:00,1975,8047.5107
1/1/76 0:00,1976,4795.705
1/1/77 0:00,1977,6417.8857
1/1/78 0:00,1978,4710.117
1/1/79 0:00,1979,4967.299
1/1/80 0:00,1980,7219.8403
1/1/81 0:00,1981,2447.9902
1/1/82 0:00,1982,3797.3655
1/1/83 0:00,1983,2209.4275
1/1/84 0:00,1984,3157.1763
1/1/85 0:00,1985,4642.365
1/1/86 0:00,1986,4333.1387
1/1/87 0:00,1987,4741.0835
1/1/88 0:00,1988,3079.5928
1/1/89 0:00,1989,6020.5693
1/1/90 0:00,1990,4336.3354
1/1/91 0:00,1991,4904.332
1/1/92 0:00,1992,4969.008
1/1/93 0:00,1993,4018.0679
1/1/94 0:00,1994,3630.7368
1/1/95 0:00,1995,4346.176
1/1/96 0:00,1996,6190.4395
1/1/97 0:00,1997,2216.8938
1/1/98 0:00,1998,7023.1187
1/1/99 0:00,1999,8364.607
1/1/00 0:00,2000,5748.053
1/1/01 0:00,2001,7576.788
1/1/02 0:00,2002,7877.336
1/1/03 0:00,2003,6922.2456
1/1/04 0:00,2004,4162.3125
1/1/05 0:00,2005,5594.6147
1/1/06 0:00,2006,9743.174
1/1/07 0:00,2007,4796.4067
1/1/08 0:00,2008,5894.5938
1/1/09 0:00,2009,4870.2544
1/1/10 0:00,2010,3673.9475
1/1/11 0:00,2011,3429.8262
1/1/12 0:00,2012,6139.5625
1/1/13 0:00,2013,4729.8184
1/1/14 0:00,2014,5309.7935
1/1/15 0:00,2015,6644.86
1/1/16 0:00,2016,5521.3086
1/1/17 0:00,2017,4459.5127
1/1/18 0:00,2018,4416.2446