time,Year,lusi
1/1/67 0:00,1967,187
1/1/68 0:00,1968,194
1/1/69 0:00,1969,142
1/1/70 0:00,1970,212
1/1/71 0:00,1971,187
1/1/72 0:00,1972,201
1/1/73 0:00,1973,178
1/1/74 0:00,1974,194
1/1/75 0:00,1975,191
1/1/76 0:00,1976,196
1/1/77 0:00,1977,219
1/1/78 0:00,1978,138
1/1/79 0:00,1979,159
1/1/80 0:00,1980,159
1/1/81 0:00,1981,85
1/1/82 0:00,1982,159
1/1/83 0:00,1983,160
1/1/84 0:00,1984,129
1/1/85 0:00,1985,158
1/1/86 0:00,1986,138
1/1/87 0:00,1987,195
1/1/88 0:00,1988,112
1/1/89 0:00,1989,192
1/1/90 0:00,1990,202
1/1/91 0:00,1991,206
1/1/92 0:00,1992,146
1/1/93 0:00,1993,161
1/1/94 0:00,1994,176
1/1/95 0:00,1995,165
1/1/96 0:00,1996,133
1/1/97 0:00,1997,106
1/1/98 0:00,1998,191
1/1/99 0:00,1999,205
1/1/00 0:00,2000,151
1/1/01 0:00,2001,174
1/1/02 0:00,2002,197
1/1/03 0:00,2003,153
1/1/04 0:00,2004,178
1/1/05 0:00,2005,129
1/1/06 0:00,2006,195
1/1/07 0:00,2007,154
1/1/08 0:00,2008,179
1/1/09 0:00,2009,201
1/1/10 0:00,2010,103
1/1/11 0:00,2011,141
1/1/12 0:00,2012,161
1/1/13 0:00,2013,161
1/1/14 0:00,2014,133
1/1/15 0:00,2015,175
1/1/16 0:00,2016,160
1/1/17 0:00,2017,166
1/1/18 0:00,2018,187